timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1490005224222,97,Discount,200,OK,Thread Group 1-109,text,true,,331,198,10,20,97,0,49
1490005224219,102,Account,200,OK,Thread Group 2-85,text,true,,330,156,10,19,100,0,52
1490005224229,94,Account,200,OK,Thread Group 2-86,text,true,,330,158,10,19,94,0,46
1490005224233,94,Discount,200,OK,Thread Group 1-110,text,true,,331,199,10,19,94,0,45
1490005224239,97,Account,200,OK,Thread Group 2-87,text,true,,330,159,10,20,97,0,47
1490005224243,94,Discount,200,OK,Thread Group 1-111,text,true,,331,199,10,19,93,0,45
1490005224250,93,Account,200,OK,Thread Group 2-88,text,true,,330,156,10,19,93,0,45
1490005224253,95,Discount,200,OK,Thread Group 1-112,text,true,,330,200,10,19,95,0,45
1490005224260,92,Account,200,OK,Thread Group 2-89,text,true,,330,158,9,18,92,0,44
1490005224264,92,Discount,200,OK,Thread Group 1-113,text,true,,330,197,9,18,92,0,44
1490005224269,95,Account,200,OK,Thread Group 2-90,text,true,,330,159,10,19,95,0,47
1490005224274,92,Discount,200,OK,Thread Group 1-114,text,true,,330,198,9,18,92,0,45
1490005224280,93,Account,200,OK,Thread Group 2-91,text,true,,330,156,10,19,93,0,45
1490005224284,101,Discount,200,OK,Thread Group 1-115,text,true,,331,198,10,20,101,0,45
1490005224290,96,Account,200,OK,Thread Group 2-92,text,true,,330,158,10,20,96,0,45
1490005224295,94,Discount,200,OK,Thread Group 1-116,text,true,,331,199,10,19,94,0,46
1490005224304,98,Discount,200,OK,Thread Group 1-117,text,true,,331,198,10,21,98,0,44
1490005224300,103,Account,200,OK,Thread Group 2-93,text,true,,330,159,11,20,103,0,45
1490005224312,93,Account,200,OK,Thread Group 2-94,text,true,,330,156,10,19,93,0,44
1490005224314,95,Discount,200,OK,Thread Group 1-118,text,true,,331,199,10,19,95,0,45
1490005224324,95,Discount,200,OK,Thread Group 1-119,text,true,,331,199,9,19,95,0,45
1490005224322,98,Account,200,OK,Thread Group 2-95,text,true,,330,158,10,19,98,0,45
1490005224335,101,Discount,200,OK,Thread Group 1-120,text,true,,330,200,10,21,101,0,50
1490005224333,103,Account,200,OK,Thread Group 2-96,text,true,,330,159,11,21,103,0,52
1490005224345,96,Discount,200,OK,Thread Group 1-121,text,true,,330,197,10,20,95,0,45
1490005224343,98,Account,200,OK,Thread Group 2-97,text,true,,330,156,10,19,98,0,46
1490005224352,101,Account,200,OK,Thread Group 2-98,text,true,,330,158,10,20,101,0,51
1490005224358,95,Discount,200,OK,Thread Group 1-122,text,true,,330,198,10,21,95,0,47
1490005224362,95,Account,200,OK,Thread Group 2-99,text,true,,330,159,10,19,95,0,47
1490005224368,101,Discount,200,OK,Thread Group 1-123,text,true,,331,198,11,21,101,0,50
1490005224373,96,Account,200,OK,Thread Group 2-100,text,true,,330,156,10,21,96,0,46
1490005224377,94,Discount,200,OK,Thread Group 1-124,text,true,,331,199,10,19,94,0,46
1490005224382,92,Account,200,OK,Thread Group 2-101,text,true,,330,158,10,19,92,0,45
1490005224388,94,Discount,200,OK,Thread Group 1-125,text,true,,331,198,10,19,94,0,46
1490005224392,105,Account,200,OK,Thread Group 2-102,text,true,,330,159,10,19,105,0,45
1490005224403,94,Account,200,OK,Thread Group 2-103,text,true,,330,156,11,20,94,0,45
1490005224398,99,Discount,200,OK,Thread Group 1-126,text,true,,331,199,9,20,99,0,44
1490005224408,94,Discount,200,OK,Thread Group 1-127,text,true,,331,199,10,19,94,0,44
1490005224413,94,Account,200,OK,Thread Group 2-104,text,true,,330,158,10,19,94,0,45
1490005224420,92,Discount,200,OK,Thread Group 1-128,text,true,,330,200,10,19,92,0,44
1490005224423,94,Account,200,OK,Thread Group 2-105,text,true,,330,159,10,19,94,0,45
1490005224429,94,Discount,200,OK,Thread Group 1-129,text,true,,330,197,10,19,93,0,45
1490005224435,94,Account,200,OK,Thread Group 2-106,text,true,,330,156,10,19,94,0,45
1490005224439,94,Discount,200,OK,Thread Group 1-130,text,true,,330,198,10,19,94,0,45
